nb requete;couts;date;temps
0;0;2025-09-08 08:50:00;0
1;0;2025-09-22 09:44:43;63.86704683303833
1;0;2025-09-22 10:30:21;89.30027484893799
1;0;2025-09-22 12:26:31;55.37669110298157
1;0;2025-09-22 12:49:13;40.928319215774536
1;0;2025-09-22 12:50:47;38.70176815986633
1;0;2025-09-22 12:58:27;86.98190236091614
1;0;2025-09-22 15:00:02;35.3299834728241
1;0;2025-09-22 15:01:23;54.86087203025818
1;0;2025-09-22 15:51:01;73.3286988735199
1;0;2025-09-22 15:59:08;43.55292534828186
1;0;2025-09-22 16:06:05;52.37007927894592
1;0;2025-09-22 16:07:51;82.48415613174438
1;0;2025-09-23 09:01:42;62.90052676200867
1;0;2025-09-25 11:50:19;75.02714395523071
1;0;2025-09-25 15:09:39;62.501073360443115
1;0;2025-09-25 15:13:47;93.16954493522644
1;0;2025-09-25 15:49:42;95.34886050224304
1;0;2025-09-26 10:40:54;94.0611400604248
1;0;2025-09-29 10:39:37;100.60280060768127
1;0;2025-09-29 10:58:14;103.88714170455933
1;0;2025-09-29 11:31:52;66.88479924201965
1;0;2025-09-29 14:46:22;98.96808791160583
1;0;2025-10-07 15:44:13;23.810930967330933
1;0;2025-10-07 15:47:26;61.82555341720581
1;0;2025-10-10 09:57:19;62.27015733718872
1;0;2025-10-12 19:11:58;96.37391304969788
1;0;2025-10-12 19:42:17;30.645228147506714
1;0;2025-10-12 19:43:59;88.19017219543457
