;year;month;segment_marche;ca_data;ca_recharge;ca_voix
0;2025;3;AUTRES;18022194440.64;147783301432.00;235177035652.795536
1;2025;3;ENTRANT;87462628527.12;102084246264.00;886403376664.005408
2;2025;3;HAUT DE MARCHE;20183291453.64;6832329966.00;218650699302.751881
3;2025;3;JEUNES;2554207683539.82;7856317489020.00;11427635891133.095325
4;2025;3;KIRENE AVEC ORANGE;114632283321.36;438931522428.00;1959347080135.200000
5;2025;3;MILIEU DE MARCHE;15433361045.76;20763206880.00;220159946163.732120
6;2025;3;TRES HAUT DE MARCHE;878644812.24;46428798024.00;66376689608.248698
7;2025;2;AUTRES;55308568402.08;68845077504.00;633219389215.463008
8;2025;2;ENTRANT;63015112707.68;111948376064.00;1013651202820.801394
9;2025;2;HAUT DE MARCHE;13864070019.80;58004564800.00;574911727366.665500
10;2025;2;JEUNES;1956090522332.16;4529092898304.00;9341817336900.370432
11;2025;2;KIRENE AVEC ORANGE;248106553663.50;380538583852.00;4837993849358.244855
12;2025;2;MILIEU DE MARCHE;11608772662.50;64668984911.00;415703735552.000370
13;2025;2;TRES HAUT DE MARCHE;2376184726.44;24309654684.00;38202618852.433111
14;2025;1;AUTRES;70415473922.50;717429071160.00;2046733202309.990400
15;2025;1;ENTRANT;427093048836.50;1642598176620.00;9067999499600.004000
16;2025;1;HAUT DE MARCHE;163098462046.52;148180989671.00;1673308527734.198376
17;2025;1;JEUNES;6863752561585.50;13408462160450.00;33911051423507.077694
18;2025;1;KIRENE AVEC ORANGE;862882576677.00;1457029735776.00;13610732458607.988480
19;2025;1;MILIEU DE MARCHE;103999611096.00;224604521280.00;1941357999511.250000
20;2025;1;TRES HAUT DE MARCHE;12829047909.00;123360236788.00;211371995275.301564
